"","city","place","Web.Site","Phone.Number","Map","Indoor.or.Outdoor.","Estimated.Cost","Facebook.Page","NA.","Pickleball.Nets","Parking","Email.Address","Comments","Restroom","How.to.contact.other.players","water.fountain","Caution","Bathroom","Court.Surface","Time","Lights"
"68","Mercer Island","Stroum​ Jewish Community Center (Mercer Island)","https://sjcc.org/programs/fitness/fitness-center/pickleball/","(206) 232-7115","3801 East Mercer Way, Mercer Island, WA 98040","Indoor","Fall 2022:
                                            
                                                    Members: Free
                                                
                                                
                                                    Non-Members: $15/day for full access to the facility","https://www.facebook.com/sjccseattle","4 courts",NA,"Off-street parking next to the community center",NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"69","Mill Creek","Heron Park (Mill Creek)","https://www.cityofmillcreek.com/cms/One.aspx?portalId=9100937&pageId=10699327
                                            https://millcreekwa.gov/pickleball",NA,"2701 155th St. SE, Mill Creek, WA 98012","Public outdoor court","Free",NA,"1 tennis court with lines for 1 pickleball court","The current configuration allows people to play pickleball
                                            using the existing tennis net as the pickleball net.","On street parking",NA,NA,NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"70","Mill Creek","Highlands Park (Mill Creek)","https://www.cityofmillcreek.com/cms/One.aspx?portalId=9100937&pageId=10699327
                                            https://millcreekwa.gov/pickleball",NA,"16123 Highlands Blvd SE, Mill Creek, WA 98012","Public outdoor courts","Free",NA,"1 tennis court with lines for 2 pickleball courts","You will have to bring a pickleball net.
                                            
                                            As of 2022, you can borrow City of Mill Creek nets, paddles and balls from the
                                            Mill Creek Family YMCA for FREE.
                                            Call (425) 337-0123 for availability and hours.","On street parking",NA,NA,NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"71","Monroe","Lake Tye Park (Monroe)","http://www.monroewa.gov/Facilities/...","(360) 305-7105","14964 Fryelands Blvd., Monroe, WA  98272","Public outdoor courts","Free","https://www.facebook.com/pages/Lake-Tye-Park/147273415297674","2 tennis courts with pickleball lines",NA,"Off-street parking",NA,"The tennis courts have been striped for pickleball",NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"72","Monroe","Monroe Family YMCA","http://ymca-snoco.org/locations/monroesky-valley-ymca/","(360) 805-1879","14033 Fryelands Blvd, Monroe, WA 98272","Indoor","Free for members, daily fee for non-members.","https://www.facebook.com/ymcamonroe/","1 court",NA,NA,NA,NA,NA,"Contact Jim Johnson at (425) 308-5774",NA,NA,NA,NA,NA,NA
"73","Mukilteo","Mukilteo Family YMCA (Mukilteo)","http://www.ymca-snoco.org/mukilteo","(425) 493-9622","10601 47th Pl W, Mukilteo, WA 98275","Indoor","Free for members. Members and guests only.","https://www.facebook.com/ymcamukilteo/","1",NA,"Off-street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Newcastle","Coal Creek Family YMCA (Newcastle)","http://www.seattleymca.org/locations/coal-creek-family-ymca","(425) 282-1500","13750 Newcastle Golf Club Rd,  Newcastle, WA 98059","Indoor","Free for members, daily fee for non-members.","https://www.facebook.com/CoalCreekFamilyYMCA/","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Newcastle","Lake Boren Park (Newcastle)","http://www.ci.newcastle.wa.us/parks/parks_list.htm","(425) 649-4444","13058 SE 84th Way, Newcastle, WA 98059
                                            
                                            (NW corner of Coal Creek Parkway and SE 84th Way)","Public outdoor courts","Free","https://www.facebook.com/pages/Lake-Boren/145762488785081","2 courts",NA,"Off-street parking",NA,"The tennis courts have been striped for pickleball
                                            and the net strap allows the net to be lowered to 34"".",NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"76","Normandy Park","Normandy Park​ Recreation Center (Normandy Park)","https://normandyparkwa.gov/recreation-community/recreation-facility-rentals/","(206) 248-7603","801 SW 174th St, Normandy Park, WA 98166","Indoor",NA,"https://www.facebook.com/pages/Normandy-Park-Recreation-Center/425910074127708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Redmond","Hartman Park​ (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Hartman-Park-63",NA,"17300 NE 104th St, Redmond, WA 98052","Outdoor","free",NA,"3 pickleball courts on 2 tennis courts. See below for details.",NA,NA,NA,"One of the two tennis courts has lines for two pickleball courts:
                                            one pickleball court on each side of the tennis net.
                                            You will have to bring your own portable pickleball net to play on that court.
                                            The other tennis court can be used as one pickleball court.
                                            On that court, the tennis net is also used as the pickleball net.",NA,NA,NA,NA,NA,NA,NA,NA
"78","Redmond","Meadow Park​ (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Meadow-Park-41",NA,"10710 160 Ave NE, Redmond, WA 98052","Outdoor","free",NA,NA,NA,"On street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Redmond","Nike Park​ (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Nike-Park-42",NA,"17207 NE 92nd St, Redmond, WA 98052","Outdoor","free",NA,NA,NA,"On Street Parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Redmond","Perrigo Park​ (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Perrigo-Park-66",NA,"9011 196th Ave NE, Redmond, WA 98053","Public outdoor courts","free",NA,"5 pickleball courts. See below for details.","Nets provided.","Off Street Parking",NA,"One of the three tennis courts has been converted into four dedicated pickleball courts.
                                            
                                            Another tennis court can be used as one pickleball court.
                                            On that court, the tennis net is also used as the pickleball net.",NA,NA,NA,NA,NA,NA,NA,"Lighted"
"81","Redmond","Redmond​ Senior Center / Sammamish River Trail (Redmond)
                                
                                    The Senior center is closed
                                    but the outdoor courts are still available.
                                    
                                    Some activities are taking place at the
                                    
                                        Old Redmond Schoolhouse Community Center, 16600 NE 80th St, Redmond, WA 98052","https://www.redmond.gov/206/Redmond-Senior-Center","(425) 556-2314","8703 160th Ave NE, Redmond, WA 98052","Public outdoor courts",NA,"https://www.facebook.com/RedmondWASeniors/","2 dedicated courts",NA,"Off-street parking",NA,NA,NA,NA,NA,"50+, or 18+ accompanied by a senior during scheduled plays.",NA,NA,NA,NA
"82","Redmond","Gorin Tennis at Redmond ​Tennis Center (a.k.a Gorin Tennis Redmond) (Redmond)","https://www.gorintennis.com","(425) 324-0477","10600 231st Way NE, Redmond, WA 98053","Indoor courts","Spring 2021
                                                
                                                Drop-in play: $15
                                                
                                                Court Rental $25/hour","https://www.facebook.com/GorinTennisRedmond","8 courts",NA,"Off-street parking","RedmondTennisCenter@GorinTennis.com",NA,NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"83","Redmond","Spiritbrook Park (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Spiritbrook-Park-51",NA,"6500 151st Ave NE, Redmond, WA 98052","Public outdoor courts","Free",NA,"1 court",NA,"On street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Redmond","​Viewpoint Park (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Viewpoint-Park-53",NA,"2501 185th Ave NE, Redmond, WA 98052","Public outdoor courts","Free",NA,"1 court",NA,"Off-street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Redmond","​Westside Park (Redmond)","https://www.redmond.gov/Facilities/Facility/Details/Westside-Park-57",NA,"5810 156th Ave NE, Redmond, WA 98052","Public outdoor courts","Free",NA,"1 court",NA,"Off-street parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Renton","Meadow Crest Pickleball and Tennis Court (Renton)",NA,NA,"3000 NE 16th St, Renton, WA 98056","outdoor","Free",NA,"1 tennis court with lines for 1 pickleball court","The tennis net serves as the pickleball net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Renton","Renton​ Community Center (Renton)","https://www.rentonwa.gov/city_hall/public_works/facilities/renton_community_center","(425) 430-6700 ","1715 SE Maple Valley Hwy, Renton, WA 98057-3900","Indoor","$: As of January 2022, $5 for 1.5h","https://www.facebook.com/pages/Renton-Community-Center/102782334762102","3 courts",NA,"Off-street parking","recreation@rentonwa.gov",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Renton","Renton ​Senior Activity Center (Renton)","http://rentonwa.gov/senioractivitycenter/","(425) 430-6633 ","211 Burnett Avenue North, Renton WA 98057","Indoor","Free","https://www.facebook.com/pages/Renton-Senior-Center/105382749537544","1 court",NA,"Off-street parking",NA,"Jeff says: ""It is a pleasant rec room with hardwood floor but the compliments stop there.
                                            They have only one portable net set up and no permanent lines.
                                            Tonight they had this thin string taped to the floor at the corners.
                                            So even if you could see the lines,
                                            during play the lines would be disrupted with playing one game.
                                            The ceiling was also too low to lob.
                                            This would be a very nice place for a senior player who was just learning to play;
                                            otherwise I would not recommend anyone going there.
                                            The program here had to have been set up by someone who heard pickleball was a great game for seniors
                                            but never actually played.",NA,NA,NA,"No permanent lines. Low Ceiling.",NA,NA,NA,NA
"89","Renton","Talbot Hill Reservoir Park (Renton)","http://rentonwa.gov/living/default.aspx?id=10064",NA,"710 South 19th Street, Renton, WA 98055","Public outdoor court","Free","https://www.facebook.com/pages/Talbot-Hill-Reservoir-Park/300830360067807","3",NA,"Off-street parking entrance on Talbot Road S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Sammamish","East Sammamish Park (Sammamish)","https://www.sammamish.us/parks-recreation/parks-trails/east-sammamish-park/",NA,"21300 NE 16th, Sammamish, WA 98074","Outdoor","Free","https://www.facebook.com/pages/East-Sammamish-Park/676288845805305","2 tennis courts, each with lines for 2 pickleball courts
                                            for a total of
                                            
                                            4 pickleball courts.","As of March 2023,
                                            three
                                            roll-away semi-permanent pickleball nets
                                            are available on the courts and
                                            one more has been ordered.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Sammamish","Pine Lake Covenant Church (Sammamish)","https://plcc.org/",NA,"1715 228th Ave SE, Sammamish, WA 98075","Indoor","Donation appreciated to offset building cost.","https://www.facebook.com/plcc.community","2 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Sammamish","Sammamish Community YMCA (Sammamish)","http://www.seattleymca.org/locations/sammamish-community-ymca","(425) 391-4840","831 228th Ave SE, Sammamish WA 98075","Outdoor","Free for members, daily fee for non-members.","https://www.facebook.com/YMCAinSammamish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","SeaTac","Matt Griffin YMCA (SeaTac)","http://www.seattleymca.org/locations/matt-griffin-ymca","(206) 244-5880","3595 S. 188th St, Seatac, WA 98188","Indoor","Free for members, daily fee for non-members.","https://www.facebook.com/MattGriffinYMCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","SeaTac","McMicken Heights Park (SeaTac)","http://www.seatacwa.gov/government/city-departments/parks-community-programs-services/parks-facilities",NA,"3740 S. 166th St., SeaTac, WA 98188","Outdoor","Free",NA,"1 dedicated public pickleball court.","1 Permanent net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","SeaTac","SeaTac Community Center (SeaTac)","http://www.ci.seatac.wa.us/services/seatac-community-center","(206) 973-4680","13735 24th Ave S, SeaTac, WA 98168","Indoor","$","https://www.facebook.com/seataccommunitycenter/","4 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"96","Seattle","Alki Playground Pickleball and Tennis Courts (West Seattle)
                                
                                (Whale Tail Park Pickleball and Tennis Courts)","https://www.seattle.gov/.../alki-playground","(206) 684-4075","5817 SW Lander St., Seattle, WA 98116","Outdoor",NA,"https://www.facebook.com/pages/Alki-Tennis-Courts/254175064686306","Lighted","One roll-away semi-permanent pickleball net is available.
                                            
                                            Another one should come in the winter.
                                            
                                            Bring your own pickleball net if you have one.","Street parking.",NA,"The pickleball lines were painted in fall 2022,
                                            but the courts haven't been resurfaced in quite a while.",NA,NA,NA,NA,NA,"Tennis court",NA,NA
"97","Seattle","Ballard Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/ballard-community-center","(206) 684-4093","6020 28th Ave NW, Seattle, WA 98107​","Indoor","Free","https://www.facebook.com/BallardCC","3 courts",NA,"Limited off-street parking next to the community center.
                                            On street parking.",NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"98","Seattle","Beacon Hill Playfield Outdoor Pickleball and Tennis Courts (Beacon Hill, Seattle)","https://www.seattle.gov/parks/find/parks/beacon-hill-playfield","(206) 684-4075","1902 13th Ave. S, Seattle, WA 98144","Outdoor",NA,NA,"No lights","You will have to bring your own pickleball net.","Street parking.",NA,"The pickleball lines were painted in summer 2021,
                                            but the courts haven't been resurfaced in years.",NA,NA,NA,NA,NA,"Tennis court",NA,NA
"99","Seattle","Bitter Lake ​Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/bitter-lake-community-center","(206) 684-7524","13035 Linden Ave N, Seattle, WA 98133","Indoor","Free","https://www.facebook.com/Bitter-Lake-Community-Center-218180534886443/","3 courts",NA,"Off-street parking next to the community center",NA,"Most Community Center gyms are designed to host many different sports. As a result, the pickleball court line markings on the gym floors can be quite confusing.
                                            If that bothers you, you will be delighted to see that the Bitter Lake Community Center gym pickleball court lines are unambiguously marked.",NA,NA,NA,NA,NA,"Hardwood",NA,NA
"100","Seattle","Bitter Lake​ Outdoor Pickleball and Tennis Courts (Seattle)","http://www.seattle.gov/parks/find/parks/bitter-lake-playfield","(206) 684-7524","13035 Linden Ave N, Seattle, WA 98133","Outdoor","Reservations:
                                            $10/hr as of April 2021
                                            
                                            Free if not reserved.","https://www.facebook.com/pages/Bitter Lake Tennis Courts/938654012992778/","Lighted. The lights were upgraded in January 2023.","At least four
                                            roll-away semi-permanent pickleball nets
                                            are available on the courts.
                                            If you need help with these nets, email
                                            infoseattlemetropickleball.com.
                                            
                                            You can also bring your own pickleball net.","Off-street parking next to the community center",NA,NA,NA,NA,NA,NA,NA,"Tennis court",NA,NA
"101","Seattle","Brighton Playfield​ Outdoor Pickleball and Tennis Courts (Beacon Hill, Seattle)","https://www.seattle.gov/parks/find/parks/brighton-playfield","(206) 684-7524","6000 39th Ave S, Seattle, WA 98118","Outdoor",NA,"https://www.facebook.com/pages/Brighton Playfields/149670815088623/","No lights","One roll-away semi-permanent pickleball net is available.
                                            
                                            Another one should come in the winter.
                                            
                                            Bring your own pickleball net if you have one.","Street parking",NA,"The ""unofficial"" yellow pickleball court lines
                                            that had first
                                            spontaneously generated
                                            on these courts
                                            have been replaced by the Seattle Parks Department
                                            with much less visible blue pickleball lines.",NA,NA,NA,NA,NA,"Tennis court",NA,NA
"102","Seattle","Dearborn Park​ Outdoor Pickleball and Tennis Courts (Beacon Hill, Seattle)","http://www.seattle.gov/parks/find/parks/dearborn-park","(206) 684-7524","2919 S Brandon St, Seattle, WA 98108","Outdoor",NA,"https://www.facebook.com/pages/Dearborn Park/698784547185437/","No lights","You will have to bring your own pickleball net.","Street parking",NA,NA,NA,NA,NA,NA,NA,"Tennis court",NA,NA
"103","Seattle","Delridge ​Community Center (West Seattle)","http://www.seattle.gov/parks/find/centers/delridge-community-center","(206) 684-7423","4501 Delridge Way SW, Seattle, WA 98106","Indoor","Free","https://www.facebook.com/West-Seattle-Community-Centers-103150522160/","3 courts",NA,"Off-street parking",NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"104","Seattle","Delridge ​Playfield Tennis and Pickleball Courts (West Seattle)","http://www.seattle.gov/parks/find/parks/delridge-playfield","(206) 684-4075","4501 Delridge Way SW, Seattle, WA 98106","Outdoor","Reservations:
                                            $10/hr as of April 2021
                                            
                                            Free if not reserved.","https://www.facebook.com/pages/Delridge-Playfields/222576364425181/","2 tennis courts or 4 pickleball courts.","Four
                                            roll-away semi-permanent pickleball nets
                                            are available on the courts.
                                            If you need help with these nets, email
                                            infoseattlemetropickleball.com.","Off-street parking",NA,NA,NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"105","Seattle","Discovery Park​ Tennis and Pickleball Courts (Magnolia, Seattle)","http://www.seattle.gov/parks/find/parks/discovery-park","(206) 684-4075","3801 Discovery Park Blvd., Seattle, WA 98199","Outdoor","Free","https://www.facebook.com/DiscoveryParkELC/","2 tennis courts or 4 pickleball courts. No permanent pickleball nets.","Bring your own pickleball net or borrow one from the
                                            Discovery Park Environmental Learning Center.","Off-street parking",NA,NA,NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"106","Seattle","Garfield ​Community Center (Capitol Hill, Seattle)","http://www.seattle.gov/parks/find/centers/garfield-community-center","(206) 684-4788","2323 E Cherry St, Seattle, WA 98122","Indoor",NA,"https://www.facebook.com/GarfieldCommunityCenter","3 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"107","Seattle","Georgetown ​Playfield Tennis and Pickleball Courts (Seattle)","http://www.seattle.gov/parks/find/parks/georgetown-playfield","(206) 684-4075","750 S Homer St., Seattle, WA 98108","Outdoor","Free","https://www.facebook.com/pages/Georgetown-Playfield/103293716400170/","1 tennis court or 4 pickleball courts. Bring your own pickleball net.","You will have to bring your own pickleball net.","On street parking",NA,NA,NA,NA,NA,"Beware of the sun: The Georgetown pickleball courts are oriented East-West.",NA,"Asphalt or concrete",NA,NA
"108","Seattle","Gilman Playground​ Tennis Courts (Ballard, Seattle)","https://www.seattle.gov/parks/find/parks/gilman-playground","(206) 684-4075","923 NW 54th St, Seattle, WA 98107","Outdoor",NA,"https://www.facebook.com/pages/Gilman Playground/...","No lights","One roll-away semi-permanent pickleball net is available.
                                            
                                            Another one should come in the winter.
                                            
                                            Bring your own pickleball net if you have one.","Street parking",NA,NA,NA,NA,NA,NA,NA,"Tennis court",NA,NA
"109","Seattle","Green Lake ​Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/green-lake-community-center","(206) 684-0780","7201 East Green Lake Dr. N, Seattle, WA 98115","Indoor","Free","https://www.facebook.com/GreenLakeCC","2 courts",NA,"Limited off-street parking. 
                                            On street parking",NA,"If you have trouble seeing the ball, the lights might not be on all the way.
                                            Ask the front desk receptionists if they can give you more light.",NA,NA,NA,NA,NA,"Hardwood",NA,NA
"110","Seattle","Green Lake East Pickleball and Tennis Courts  (Seattle)","http://www.seattle.gov/parks/find/parks/green-lake-park
                                            https://www.greenlakepickleball.com.","(206) 684-4075","7201 East Green Lake Dr N, Seattle, WA 98115","Outdoor","Reservations:
                                            $10/hr as of April 2021
                                            
                                            Free if not reserved.","https://www.facebook.com/pages/Green-Lake-Seattle/135915443108458/","3 tennis courts, each with lines for 1 pickleball court on each side of the tennis net,
                                            for a total of
                                            
                                            6 pickleball courts.","There are six
                                            roll-away semi-permanent pickleball nets.
                                            If you need help with those nets, email
                                            infoseattlemetropickleball.com.","Limited off-street parking. 
                                            On street parking",NA,"Players sometimes tape two additional pickleball courts.",NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"111","Seattle","Hiawatha ​Community Center (West Seattle)","http://www.seattle.gov/parks/find/centers/hiawatha-community-center","(206) 684-7441","2700 California Ave SW, Seattle, WA 98116","Indoor","Free","https://www.facebook.com/West-Seattle-Community-Centers-103150522160/","3 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"112","Seattle","High Point ​Community Center (West Seattle)","http://www.seattle.gov/parks/find/centers/high-point-community-center","(206) 684-7422","6920 34th Ave SW, Seattle, WA 98126","Indoor","Free","https://www.facebook.com/West-Seattle-Community-Centers-103150522160/","3 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"113","Seattle","Hing Hay​ Park (Downtown Seattle)","https://www.seattle.gov/parks/find/parks/hing-hay-park","(206) 684-4075","423 Maynard Ave. S, Seattle, WA 98104","Outdoor","Free","https://www.facebook.com/Hing-Hay-Park-1369062383173572/","1 court.",NA,NA,NA,NA,NA,NA,NA,"This public ""court"" is defined by lines etched in the concrete of a public plaza.
                                            There is no fence or barrier around the court, which means that passersby might wander on the court
                                            and your ball might end up under someone's table, in someone's lunch or on the street.
                                            
                                            While pickleball courts measure only 22 feet wide by 44 feet long, they are supposed to be built on
                                            
                                                a minimum playing surface area measuring 30 feet wide
                                                and 60 feet long and a larger size of 40 feet by 64 feet is preferred
                                            .
                                            Unfortunately, the designers of the Hing Hay Park court don't seem to have been aware
                                            of the need to provide a playing area larger than the court itself.
                                            Click on
                                            the camera symbol above to see a picture of the court.
                                            
                                            Two tall poles can be used to attach a badminton or pickleball net. No net was available when we visited,
                                            but you might be able to get one by contacting
                                            Lisa Nielsen,
                                            Senior Recreation Program Director,
                                            Seattle Parks and Recreation.
                                            Email: Lisa.Nielsen@seattle.gov. Phone: (206) 684-7710.",NA,"Concrete",NA,NA
"114","Seattle","International District/Chinatown Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/international-districtchinatown-community-center","(206) 233-0042","719 8th Ave S, Seattle, WA 98104","Indoor","Free","https://www.facebook.com/International-District-Community-Center-103675689707536/","3 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Seattle","Jefferson ​Community Center (Beacon Hill, Seattle)","http://www.seattle.gov/parks/find/centers/jefferson-community-center","(206) 684-7481","3801 Beacon Ave S, Seattle, WA 98108","Indoor","Free","https://www.facebook.com/Jefferson-Community-Center-453350118011001/","3 courts",NA,"Off-street parking next to the community center",NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"116","Seattle","Kinnear Park (Queen Anne, Seattle)","http://www.seattle.gov/parks/find/parks/kinnear-park","(206) 684-4075","899 W Olympic Pl., Seattle, WA 98119","Public outdoor court","Free","https://www.facebook.com/pages/Kinnear-Park/139871399385646","1 court",NA,"On street parking",NA,NA,NA,NA,NA,"Public outdoor tennis court, also lined as one pickleball court.
                                            The pickleball baselines had not been painted the last time we checked.",NA,"Asphalt or concrete",NA,NA
"117","Seattle","Lakeridge Pickleball and Badminton Courts (Seattle)","https://www.seattle.gov/parks/find/parks/lakeridge-playfield",NA,"10145 Rainier Ave. S, Seattle, WA 98178","Public outdoor courts","Free","Lakeridge Pickleball Club Facebook group","2 courts","Permanent nets are provided.
                                            The net poles are taller than usual to allow the nets to be raised for badminton or lowered for pickleball.
                                            As of spring 2022, the mechanism to raise the nets was broken and the nets stuck in the pickleball position.","On street parking. Pay close attention to the parking signs!",NA,"As of summer 2022, pickleball players had taped a third court on the adjacent basketball court.",NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"118","Seattle","Laurelhurst Pickleball Court (Seattle)","http://www.seattle.gov/parks/find/parks/laurelhurst-playfield",NA,"4339 NE 43rd St, Seattle, WA 98105","Public outdoor court","Free","https://www.facebook.com/LaurelhurstCC","1 court","A permanent net is provided.","Off street parking at the Laurelhurst Community Center",NA,"Renovated summer 2021.",NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"119","Seattle","Loyal Heights ​Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/loyal-heights-community-center","(206) 684-4052","2101 NW 77th St, Seattle, WA 98117","Indoor","Free","https://www.facebook.com/LoyalHeightsCC","3 courts",NA,"On street parking",NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"120","Seattle","Magnolia ​Community Center (Magnolia, Seattle)","http://www.seattle.gov/parks/find/centers/magnolia-community-center","(206) 386-4235","2550 34th Ave W, Seattle, WA 98199","Indoor","Free","https://www.facebook.com/magnoliacommunity/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Seattle","Magnolia Playfield Pickleball and Tennis Courts (Magnolia, Seattle)","https://www.seattle.gov/parks/find/parks/magnolia-playfield",NA,"2518 34th Ave. W, Seattle, WA 98199","Public outdoor courts","Free if not reserved","https://www.facebook.com/pages/West-Magnolia-playfield/125402300843420","4 tennis courts, each sporting lines for 2 pickleball courts for a total of
                                            
                                            8 pickleball courts","Two roll-away semi-permanent pickleball nets are available.
                                            
                                            Bring your own pickleball net if you have one.",NA,NA,NA,NA,NA,NA,NA,NA,"Asphalt or concrete",NA,NA
"122","Seattle","Magnuson ​Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/magnuson-community-center","(206) 684-7026","7110 62nd Ave NE, Seattle, WA 98115","Indoor","Free","https://www.facebook.com/Magnuson-Community-Center-413164202029354/","3 courts",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"123","Seattle","Magnuson Park Building 30 Hangar​ (Seattle)","https://www.seattle.gov/parks/reserve/indoor-event-rentals/magnuson-park-event-space-reservations","(206) 684-4080, x3","6310 NE 74th St, Seattle, WA 98115","Indoor","Free","https://www.facebook.com/pages/Magnuson%20Park%20Hangar%2030/1421070217952918//","3",NA,NA,NA,"Lots of room around the courts but more distance to fetch balls.
                                            
                                            
                                            Players are allowed in thru the south doors even though the building is closed due to covid.",NA,NA,NA,NA,NA,"Court Surface: concrete",NA,NA
"124","Seattle","Magnuson ​Park Old Outdoor Tennis Courts (Seattle)","https://www.seattle.gov/parks/find/parks/magnuson-park","(206) 684-4946","7400 Sand Point Way Northeast, Seattle, WA 98115","Outdoor","Free","https://www.facebook.com/pages/Warren-G-Magnuson-Park/1940507726216697/","6 tennis courts",NA,NA,NA,"These are very old tennis courts that probably date back to when
                                            this park was a military base. The court surface has numerous cracks
                                            and has not been maintained in ages. These courts don't seem to be
                                            part of the
                                            Seattle Parks and Recreation department official list of tennis courts.
                                            
                                            As of mid-June 2018, pickleball players are marking some of those
                                            tennis courts for pickleball play.",NA,"Use the
                                            North Seattle Pickleball Players Facebook group
                                            to find other players at this location.",NA,NA,NA,"Asphalt",NA,NA
"125","Seattle","​Maple Leaf Reservoir Park (Seattle)","http://www.seattle.gov/parks/find/parks/maple-leaf-reservoir-park","(206) 684-4075","1020 NE 82nd St., Seattle, WA 98115","Public outdoor courts","Free","https://www.facebook.com/groups/1452...","2 courts with permanent pickleball nets.",NA,"On street parking",NA,NA,NA,NA,NA,"Public outdoor unfenced pickleball courts.
                                            East-West orientation instead of the recommended North-South orientation.
                                            A pedestrian path passes right behind the West baselines.
                                            Beware of collision potential with toddlers, trikes, etc...",NA,NA,NA,NA
"126","Seattle","Meadowbrook ​Community Center (Seattle)","http://www.seattle.gov/parks/find/centers/m...","(206) 684-7522","10517 35th Ave NE, Seattle, WA 98125","Indoor","Free","https://www.facebook.com/Meadowbrook...","3 courts",NA,"Off-street parking next to the community center",NA,NA,NA,NA,NA,NA,NA,"Hardwood",NA,NA
"127","Seattle","Miller ​Community Center (Capitol Hill, Seattle)","http://www.seattle.gov/parks/find/centers/miller-community-center","(206) 684-4753","330 19th Ave E, Seattle, WA 98112","Indoor",NA,"https://www.facebook.com/Miller-Community-Center-214925651885164/","3 courts",NA,"Off-street parking next to the community center. Upper parking lot entrance on 19th Ave E. Lower parking lot entrance on 20th Ave E.",NA,"If you have trouble seeing the ball, the lights might not be on all the way.
                                            Ask the front desk receptionists if they can give you more light.",NA,"Players email list:
                                            Mid-town Pickle Ball",NA,NA,NA,"Hardwood",NA,NA
